"auth.name","2015","2016","2017","2018","2019","change","change.4"
"Cardiff",7256.977,7598.742,8629.129,9739.051,9550.705,-1.9339255950092,7.10750949830237
"Swansea",5446,5666,5931.514,6978.206,6441.135,-7.69640506456817,4.28484288250854
"Carmarthenshire",3105.993,3091.909,3035.068,2882.176,2709.112,-6.00462983523559,-3.360066630781
"Gwynedd",2538,2490,2539,2697,2699,0.0741564701520332,1.54950638164006
"Conwy",1886.046,1935.267,1903.485,2226.772,2391.333,7.39011447961444,6.11381878994388
"Pembrokeshire",1783,1867,1916,2173,2065,-4.97008743672342,3.73902888899376
"Rhondda Cynon Taf",1291.035,1321.516,1089.778,1323.964,1764.012,33.2371575057932,8.11622657886619
"Powys",1602,1684,1652.771,1682.738,1741.167,3.47225771332198,2.10440501302493
"Neath Port Talbot",1376.046,1374.55,1499.981,1652.472,1721.945,4.20418621314008,5.76612199547997
"Bridgend",1219.9,1127.487,1138.637,1211.064,1712.138,41.374692006368,8.84378448884262
"Denbighshire",1300,1710.687,1516.686,1514.699,1584.92,4.63597057897312,5.07901627414313
"Monmouthshire",1420.871,1522.203,1534.746,1445.502,1491.96,3.21396995645804,1.22799438597616
"Ceredigion",980.259,1108.664,1055.016,1058.19,1258.601,18.939037412941,6.44782902119827
"Wrexham",896.2518,974.097,1112.864,1067.222,1091.644,2.28837111678732,5.05403742051236
"Caerphilly",702,675,641.423,688.405,1041.068,51.2290003704215,10.3533435840126
"Flintshire",438.855,598.6638,570.91,721.118,925.431,28.3328109962586,20.5051889857477
"Vale of Glamorgan",686,764,737,807,738,-8.55018587360595,1.84344031082884
"Merthyr Tydfil",689.98,607.813,725.231,683.738,696.613,1.88303121956071,0.239471480175291
"Newport",639.8984,642.502,591.316,649.2,636.542,-1.94978434996919,-0.131388910863661
"Isle of Anglesey",523,605,639,682,599,-12.1700879765396,3.45018779390418
"Torfaen",5,15,4,6,108,1700,115.582467177851
"Blaenau Gwent",30,30,30.211,39.5,30,-24.0506329113924,0
"Total",35817.1122,37410.1008,38493.766,41929.017,42997.326,2.54789898842608,4.67373475978008
